10000000	=	-128
10000001	=	-127
10000010	=	-126
10000011	=	-125
10000100	=	-124
10000101	=	-123
10000110	=	-122
10000111	=	-121
10001000	=	-120
10001001	=	-119
10001010	=	-118
10001011	=	-117
10001100	=	-116
10001101	=	-115
10001110	=	-114
10001111	=	-113
10010000	=	-112
10010001	=	-111
10010010	=	-110
10010011	=	-109
10010100	=	-108
10010101	=	-107
10010110	=	-106
10010111	=	-105
10011000	=	-104
10011001	=	-103
10011010	=	-102
10011011	=	-101
10011100	=	-100
10011101	=	-99
10011110	=	-98
10011111	=	-97
10100000	=	-96
10100001	=	-95
10100010	=	-94
10100011	=	-93
10100100	=	-92
10100101	=	-91
10100110	=	-90
10100111	=	-89
10101000	=	-88
10101001	=	-87
10101010	=	-86
10101011	=	-85
10101100	=	-84
10101101	=	-83
10101110	=	-82
10101111	=	-81
10110000	=	-80
10110001	=	-79
10110010	=	-78
10110011	=	-77
10110100	=	-76
10110101	=	-75
10110110	=	-74
10110111	=	-73
10111000	=	-72
10111001	=	-71
10111010	=	-70
10111011	=	-69
10111100	=	-68
10111101	=	-67
10111110	=	-66
10111111	=	-65
11000000	=	-64
11000001	=	-63
11000010	=	-62
11000011	=	-61
11000100	=	-60
11000101	=	-59
11000110	=	-58
11000111	=	-57
11001000	=	-56
11001001	=	-55
11001010	=	-54
11001011	=	-53
11001100	=	-52
11001101	=	-51
11001110	=	-50
11001111	=	-49
11010000	=	-48
11010001	=	-47
11010010	=	-46
11010011	=	-45
11010100	=	-44
11010101	=	-43
11010110	=	-42
11010111	=	-41
11011000	=	-40
11011001	=	-39
11011010	=	-38
11011011	=	-37
11011100	=	-36
11011101	=	-35
11011110	=	-34
11011111	=	-33
11100000	=	-32
11100001	=	-31
11100010	=	-30
11100011	=	-29
11100100	=	-28
11100101	=	-27
11100110	=	-26
11100111	=	-25
11101000	=	-24
11101001	=	-23
11101010	=	-22
11101011	=	-21
11101100	=	-20
11101101	=	-19
11101110	=	-18
11101111	=	-17
11110000	=	-16
11110001	=	-15
11110010	=	-14
11110011	=	-13
11110100	=	-12
11110101	=	-11
11110110	=	-10
11110111	=	-9
11111000	=	-8
11111001	=	-7
11111010	=	-6
11111011	=	-5
11111100	=	-4
11111101	=	-3
11111110	=	-2
11111111	=	-1
00000000	=	0
00000001	=	1
00000010	=	2
00000011	=	3
00000100	=	4
00000101	=	5
00000110	=	6
00000111	=	7
00001000	=	8
00001001	=	9
00001010	=	10
00001011	=	11
00001100	=	12
00001101	=	13
00001110	=	14
00001111	=	15
00010000	=	16
00010001	=	17
00010010	=	18
00010011	=	19
00010100	=	20
00010101	=	21
00010110	=	22
00010111	=	23
00011000	=	24
00011001	=	25
00011010	=	26
00011011	=	27
00011100	=	28
00011101	=	29
00011110	=	30
00011111	=	31
00100000	=	32
00100001	=	33
00100010	=	34
00100011	=	35
00100100	=	36
00100101	=	37
00100110	=	38
00100111	=	39
00101000	=	40
00101001	=	41
00101010	=	42
00101011	=	43
00101100	=	44
00101101	=	45
00101110	=	46
00101111	=	47
00110000	=	48
00110001	=	49
00110010	=	50
00110011	=	51
00110100	=	52
00110101	=	53
00110110	=	54
00110111	=	55
00111000	=	56
00111001	=	57
00111010	=	58
00111011	=	59
00111100	=	60
00111101	=	61
00111110	=	62
00111111	=	63
01000000	=	64
01000001	=	65
01000010	=	66
01000011	=	67
01000100	=	68
01000101	=	69
01000110	=	70
01000111	=	71
01001000	=	72
01001001	=	73
01001010	=	74
01001011	=	75
01001100	=	76
01001101	=	77
01001110	=	78
01001111	=	79
01010000	=	80
01010001	=	81
01010010	=	82
01010011	=	83
01010100	=	84
01010101	=	85
01010110	=	86
01010111	=	87
01011000	=	88
01011001	=	89
01011010	=	90
01011011	=	91
01011100	=	92
01011101	=	93
01011110	=	94
01011111	=	95
01100000	=	96
01100001	=	97
01100010	=	98
01100011	=	99
01100100	=	100
01100101	=	101
01100110	=	102
01100111	=	103
01101000	=	104
01101001	=	105
01101010	=	106
01101011	=	107
01101100	=	108
01101101	=	109
01101110	=	110
01101111	=	111
01110000	=	112
01110001	=	113
01110010	=	114
01110011	=	115
01110100	=	116
01110101	=	117
01110110	=	118
01110111	=	119
01111000	=	120
01111001	=	121
01111010	=	122
01111011	=	123
01111100	=	124
01111101	=	125
01111110	=	126
01111111	=	127
